nct,cond,title,ivnames,mode,u,outcome,cat,growthdx,growthdrug,restore,arm,av,asd,an,ref,rv,rn,diff,se,z
NCT02163577,X-linked Hypophosphatemia,"Study of KRN23 (Burosumab), a Recombinant Fully Human Monoclonal Antibody Against Fibroblast Growth Factor 23 (FGF23), in Pediatric Subjects With X-linked Hypophosphatemia (XLH)",burosumab,active-comparator,cm,Change From Baseline in Growth (Sitting Height) Over Time,Change at Week 160,False,False,True,Burosumab Q4W Then Q2W,8.62,2.163,26,Burosumab Q2W,8.29,26,0.33,,
NCT02283853,Relapsing-Remitting Multiple Sclerosis,Phase 3 Efficacy and Safety Study of BG00012 in Pediatric Participants With Relapsing-Remitting Multiple Sclerosis (RRMS),dimethyl fumarate ; Interferon β-1a,active-comparator,cm,Part 2: Change From Baseline in Height,Change at Week 120,False,False,False,Part 2: IFN β-1a/ BG00012,0.76,2.878,35,Part 2: BG00012/ BG00012,0.36,55,0.4,,
NCT02283853,Relapsing-Remitting Multiple Sclerosis,Phase 3 Efficacy and Safety Study of BG00012 in Pediatric Participants With Relapsing-Remitting Multiple Sclerosis (RRMS),dimethyl fumarate ; Interferon β-1a,active-comparator,cm,Part 2: Change From Baseline in Height,Change at Week 144,False,False,False,Part 2: IFN β-1a/ BG00012,1.67,4.021,35,Part 2: BG00012/ BG00012,0.72,55,0.95,,
NCT02283853,Relapsing-Remitting Multiple Sclerosis,Phase 3 Efficacy and Safety Study of BG00012 in Pediatric Participants With Relapsing-Remitting Multiple Sclerosis (RRMS),dimethyl fumarate ; Interferon β-1a,active-comparator,cm,Part 2: Change From Baseline in Height,Change at Week 168,False,False,False,Part 2: IFN β-1a/ BG00012,1.92,4.855,35,Part 2: BG00012/ BG00012,1.13,55,0.79,,
NCT02283853,Relapsing-Remitting Multiple Sclerosis,Phase 3 Efficacy and Safety Study of BG00012 in Pediatric Participants With Relapsing-Remitting Multiple Sclerosis (RRMS),dimethyl fumarate ; Interferon β-1a,active-comparator,cm,Part 2: Change From Baseline in Height,Change at Week 192,False,False,False,Part 2: IFN β-1a/ BG00012,2.14,5.407,35,Part 2: BG00012/ BG00012,1.37,55,0.77,,
NCT02283853,Relapsing-Remitting Multiple Sclerosis,Phase 3 Efficacy and Safety Study of BG00012 in Pediatric Participants With Relapsing-Remitting Multiple Sclerosis (RRMS),dimethyl fumarate ; Interferon β-1a,active-comparator,cm,Part 2: Change From Baseline in Height,Change at Week 216,False,False,False,Part 2: IFN β-1a/ BG00012,2.47,5.654,35,Part 2: BG00012/ BG00012,1.71,55,0.76,,
NCT02283853,Relapsing-Remitting Multiple Sclerosis,Phase 3 Efficacy and Safety Study of BG00012 in Pediatric Participants With Relapsing-Remitting Multiple Sclerosis (RRMS),dimethyl fumarate ; Interferon β-1a,active-comparator,cm,Part 2: Change From Baseline in Height,Change at Week 240,False,False,False,Part 2: IFN β-1a/ BG00012,2.52,5.858,35,Part 2: BG00012/ BG00012,1.85,55,0.67,,
NCT02283853,Relapsing-Remitting Multiple Sclerosis,Phase 3 Efficacy and Safety Study of BG00012 in Pediatric Participants With Relapsing-Remitting Multiple Sclerosis (RRMS),dimethyl fumarate ; Interferon β-1a,active-comparator,cm,Part 2: Change From Baseline in Height,Change at Week 264,False,False,False,Part 2: IFN β-1a/ BG00012,2.75,6.661,35,Part 2: BG00012/ BG00012,2.16,55,0.59,,
NCT02283853,Relapsing-Remitting Multiple Sclerosis,Phase 3 Efficacy and Safety Study of BG00012 in Pediatric Participants With Relapsing-Remitting Multiple Sclerosis (RRMS),dimethyl fumarate ; Interferon β-1a,active-comparator,cm,Part 2: Change From Baseline in Height,Change at Week 288,False,False,False,Part 2: IFN β-1a/ BG00012,3.09,7.743,35,Part 2: BG00012/ BG00012,2.37,55,0.72,,
NCT02283853,Relapsing-Remitting Multiple Sclerosis,Phase 3 Efficacy and Safety Study of BG00012 in Pediatric Participants With Relapsing-Remitting Multiple Sclerosis (RRMS),dimethyl fumarate ; Interferon β-1a,active-comparator,cm,Part 2: Change From Baseline in Height,Change at Week 312,False,False,False,Part 2: IFN β-1a/ BG00012,3.62,8.121,35,Part 2: BG00012/ BG00012,2.29,55,1.33,,
NCT02283853,Relapsing-Remitting Multiple Sclerosis,Phase 3 Efficacy and Safety Study of BG00012 in Pediatric Participants With Relapsing-Remitting Multiple Sclerosis (RRMS),dimethyl fumarate ; Interferon β-1a,active-comparator,cm,Part 2: Change From Baseline in Height,Change at Week 336,False,False,False,Part 2: IFN β-1a/ BG00012,3.03,7.019,35,Part 2: BG00012/ BG00012,1.94,55,1.09,,
NCT02283853,Relapsing-Remitting Multiple Sclerosis,Phase 3 Efficacy and Safety Study of BG00012 in Pediatric Participants With Relapsing-Remitting Multiple Sclerosis (RRMS),dimethyl fumarate ; Interferon β-1a,active-comparator,cm,Part 2: Change From Baseline in Height,Change at Week 340,False,False,False,Part 2: IFN β-1a/ BG00012,4.17,8.611,35,Part 2: BG00012/ BG00012,3.32,55,0.85,,
NCT01746862,Idiopathic Short Stature,A Phase 3 Study to Evaluate the Safety and Efficacy of Saizen® in Children With Idiopathic Short Stature (ISS),Saizen® ; Saizen®,placebo,cm/yr,Change From Baseline in Height Velocity at Month 6 Using Last Observation Carried Forward (LOCF) Method,"Change at Month 6 (n=59,29)",True,False,False,Saizen Test Group,4.45,2.7,60,Saizen Control Group,1.01,30,3.44,,
NCT01746862,Idiopathic Short Stature,A Phase 3 Study to Evaluate the Safety and Efficacy of Saizen® in Children With Idiopathic Short Stature (ISS),Saizen® ; Saizen®,placebo,cm/yr,Change From Baseline in Height Velocity at Month 12,,True,False,False,Saizen Test Group,3.77,2.21,52,Saizen Control Group,2.86,27,0.91,,
NCT01746862,Idiopathic Short Stature,A Phase 3 Study to Evaluate the Safety and Efficacy of Saizen® in Children With Idiopathic Short Stature (ISS),Saizen® ; Saizen®,placebo,cm,Change From Baseline in Height at Month 6 and 12,"Change at Month 6 (n=55, 27)",True,False,False,Saizen Test Group,5.41,1.04,60,Saizen Control Group,3.1,30,2.31,,
NCT01746862,Idiopathic Short Stature,A Phase 3 Study to Evaluate the Safety and Efficacy of Saizen® in Children With Idiopathic Short Stature (ISS),Saizen® ; Saizen®,placebo,cm,Change From Baseline in Height at Month 6 and 12,"Change at Month 12 (n=52, 27)",True,False,False,Saizen Test Group,9.78,1.35,60,Saizen Control Group,8.24,30,1.54,,
NCT01911260,Short Stature,Weekly Zinc Chelate Supplementation on Children's Growth,Zinc amino acid chelate ; Placebo,placebo,Z,Change in Height-for-Age Z-score (HAZ) From End of Supplementation to End of Follow-up Period.,,True,False,False,Growth Deficit+Zinc Amino Acid Chelate,0.04,0.12,27,Normal Height + Placebo,0.02,30,0.02,,
NCT01911260,Short Stature,Weekly Zinc Chelate Supplementation on Children's Growth,Zinc amino acid chelate ; Placebo,placebo,Z,Change in Height-for-Age Z-score (HAZ) From End of Supplementation to End of Follow-up Period.,,True,False,False,Growth Deficit + Placebo,-0.08,0.45,18,Normal Height + Placebo,0.02,30,-0.1,,
NCT01911260,Short Stature,Weekly Zinc Chelate Supplementation on Children's Growth,Zinc amino acid chelate ; Placebo,placebo,Z,Change in Height-for-Age Z-score (HAZ) From End of Supplementation to End of Follow-up Period.,,True,False,False,Normal Height+Zinc Amino Acid Chelate,0.1,0.15,24,Normal Height + Placebo,0.02,30,0.08,,
NCT04085172,Attention Deficit Hyperactivity Disorder,A Study of TAK-503 in Children and Teenagers With Attention Deficit Hyperactivity Disorder (ADHD),Guanfacine hydrochloride (TAK-503) ; Atomoxetine hydrochloride ; Placebo,placebo,cm,Parts A and B: Change From Baseline in Height,Change at Week 18,False,False,False,Double-Blinded Period (Part A): TAK-503,1.42,1.505,96,Double-Blinded Period (Part A): Placebo,1.54,96,-0.12,,
NCT04085172,Attention Deficit Hyperactivity Disorder,A Study of TAK-503 in Children and Teenagers With Attention Deficit Hyperactivity Disorder (ADHD),Guanfacine hydrochloride (TAK-503) ; Atomoxetine hydrochloride ; Placebo,placebo,cm,Parts A and B: Change From Baseline in Height,Change at Week 18,False,False,False,Double-Blinded Period (Part A): Atomoxetine,1.25,1.434,95,Double-Blinded Period (Part A): Placebo,1.54,96,-0.29,,
NCT04085172,Attention Deficit Hyperactivity Disorder,A Study of TAK-503 in Children and Teenagers With Attention Deficit Hyperactivity Disorder (ADHD),Guanfacine hydrochloride (TAK-503) ; Atomoxetine hydrochloride ; Placebo,placebo,cm,Parts A and B: Change From Baseline in Height,Change at Week 49,False,False,False,Double-Blinded Period (Part A): TAK-503,2.63,2.838,96,Open-Label Period (Part B): Part A (Placebo) - Part B (TAK-503),2.74,63,-0.11,,
NCT04085172,Attention Deficit Hyperactivity Disorder,A Study of TAK-503 in Children and Teenagers With Attention Deficit Hyperactivity Disorder (ADHD),Guanfacine hydrochloride (TAK-503) ; Atomoxetine hydrochloride ; Placebo,placebo,cm,Parts A and B: Change From Baseline in Height,Change at Week 49,False,False,False,Double-Blinded Period (Part A): Atomoxetine,2.71,2.219,95,Open-Label Period (Part B): Part A (Placebo) - Part B (TAK-503),2.74,63,-0.03,,
NCT04085172,Attention Deficit Hyperactivity Disorder,A Study of TAK-503 in Children and Teenagers With Attention Deficit Hyperactivity Disorder (ADHD),Guanfacine hydrochloride (TAK-503) ; Atomoxetine hydrochloride ; Placebo,placebo,cm,Parts A and B: Change From Baseline in Height,Change at Week 49,False,False,False,Open-Label Period (Part B): Part A (TAK-503) - Part B (TAK-503),3.07,3.099,28,Open-Label Period (Part B): Part A (Placebo) - Part B (TAK-503),2.74,63,0.33,,
NCT04085172,Attention Deficit Hyperactivity Disorder,A Study of TAK-503 in Children and Teenagers With Attention Deficit Hyperactivity Disorder (ADHD),Guanfacine hydrochloride (TAK-503) ; Atomoxetine hydrochloride ; Placebo,placebo,cm,Parts A and B: Change From Baseline in Height,Change at Week 49,False,False,False,Open-Label Period (Part B): Part A (Atomoxetine) - Part B (TAK-503),3.52,3.243,30,Open-Label Period (Part B): Part A (Placebo) - Part B (TAK-503),2.74,63,0.78,,
NCT01927861,Genetic Disorder ; Noonan Syndrome,Investigating the Long-term Efficacy and Safety of Two Doses of NN-220 (Somatropin) in Short Stature Due to Noonan Syndrome,somatropin,active-comparator,cm/yr,Height Velocity,,True,True,False,NN-220 0.066 mg/kg/Day,9.9,1.49,26,NN-220 0.033 mg/kg/Day,7.88,25,2.02,,
NCT01927861,Genetic Disorder ; Noonan Syndrome,Investigating the Long-term Efficacy and Safety of Two Doses of NN-220 (Somatropin) in Short Stature Due to Noonan Syndrome,somatropin,active-comparator,cm/yr,Height Velocity,,True,True,False,NN-220 0.066 mg/kg/Day,7.99,1.2,26,NN-220 0.033 mg/kg/Day,6.2,25,1.79,,
NCT01927861,Genetic Disorder ; Noonan Syndrome,Investigating the Long-term Efficacy and Safety of Two Doses of NN-220 (Somatropin) in Short Stature Due to Noonan Syndrome,somatropin,active-comparator,cm/yr,Height Velocity,,True,True,False,NN-220 0.066 mg/kg/Day,7.01,1.12,26,NN-220 0.033 mg/kg/Day,5.77,25,1.24,,
NCT01927861,Genetic Disorder ; Noonan Syndrome,Investigating the Long-term Efficacy and Safety of Two Doses of NN-220 (Somatropin) in Short Stature Due to Noonan Syndrome,somatropin,active-comparator,cm/yr,Height Velocity,,True,True,False,NN-220 0.066 mg/kg/Day,6.11,1.28,26,NN-220 0.033 mg/kg/Day,5.64,25,0.47,,
NCT02918279,Metabolism and Nutrition Disorder ; Obesity,Effect of Liraglutide for Weight Management in Pubertal Adolescent Subjects With Obesity,Liraglutide ; Placebo,placebo,Z,Change in Height SDS,Change from week 0 to week 30,False,False,True,Liraglutide 3.0 mg,0.11,0.17,125,Placebo,0.13,126,-0.02,,
NCT02918279,Metabolism and Nutrition Disorder ; Obesity,Effect of Liraglutide for Weight Management in Pubertal Adolescent Subjects With Obesity,Liraglutide ; Placebo,placebo,Z,Change in Height SDS,Change from week 0 to week 56,False,False,True,Liraglutide 3.0 mg,0.2,0.27,125,Placebo,0.24,126,-0.04,,
NCT02918279,Metabolism and Nutrition Disorder ; Obesity,Effect of Liraglutide for Weight Management in Pubertal Adolescent Subjects With Obesity,Liraglutide ; Placebo,placebo,Z,Change in Height SDS,Change from week 56 to week 82,False,False,True,Liraglutide 3.0 mg,0.07,0.16,125,Placebo,0.06,126,0.01,,
NCT03676751,Child Growth ; Diversity of Microbiome ; Child Mortality ; Resistance Bacterial,MORDOR II Burkina Faso: Longitudinal Trial,Azithromycin ; Placebo,placebo,cm,Change in Height Over Time,,False,False,False,Azithromycin,91.6,11.5,200,Placebo,91.3,189,0.3,,
NCT03204786,Autism ; Autism Spectrum Disorder ; ASD,Intranasal Vasopressin Treatment in Children With Autism,Vasopressin (USP) Injectable Solution [Vasostrict] ; Placebo,placebo,cm,Change From Baseline on Height During Treatment.,4-weeks (end of treatment period 1),False,False,False,Vasopressin-Vasopressin,142.0,5.96,23,Placebo-Vasopressin,148.0,46,-6.0,,
NCT03204786,Autism ; Autism Spectrum Disorder ; ASD,Intranasal Vasopressin Treatment in Children With Autism,Vasopressin (USP) Injectable Solution [Vasostrict] ; Placebo,placebo,cm,Change From Baseline on Height During Treatment.,4-weeks (end of treatment period 1),False,False,False,Placebo-Placebo,146.0,2.76,39,Placebo-Vasopressin,148.0,46,-2.0,,
NCT03204786,Autism ; Autism Spectrum Disorder ; ASD,Intranasal Vasopressin Treatment in Children With Autism,Vasopressin (USP) Injectable Solution [Vasostrict] ; Placebo,placebo,cm,Change From Baseline on Height During Treatment.,8-weeks (end of treatment period 2),False,False,False,Vasopressin-Vasopressin,145.0,4.43,23,Placebo-Vasopressin,148.0,46,-3.0,,
NCT03204786,Autism ; Autism Spectrum Disorder ; ASD,Intranasal Vasopressin Treatment in Children With Autism,Vasopressin (USP) Injectable Solution [Vasostrict] ; Placebo,placebo,cm,Change From Baseline on Height During Treatment.,8-weeks (end of treatment period 2),False,False,False,Placebo-Placebo,146.0,2.68,39,Placebo-Vasopressin,148.0,46,-2.0,,
NCT03020719,Cystic Fibrosis,The Role of Oral Glutathione on Growth Parameters in Children With Cystic Fibrosis,Oral Glutathione ; Placebo,placebo,Z,Change in Height-for-age Z-score,,False,False,True,Oral Glutathione,-0.04,0.21,30,Placebo,0.03,28,-0.07,,
NCT02249182,Hepatitis C Virus Infection,Safety and Efficacy of Ledipasvir/Sofosbuvir Fixed Dose Combination +/- Ribavirin in Adolescents and Children With Chronic HCV-Infection,LDV/SOF ; RBV,active-comparator,cm,"For the Treatment Phase, Change From Baseline in Height",Change at Week 1,False,False,True,6 to < 12 Years Old - LDV/SOF 12 Weeks,0.1,0.83,89,12 to < 18 Years Old - LDV/SOF 12 Weeks,0.1,100,0.0,,
NCT02249182,Hepatitis C Virus Infection,Safety and Efficacy of Ledipasvir/Sofosbuvir Fixed Dose Combination +/- Ribavirin in Adolescents and Children With Chronic HCV-Infection,LDV/SOF ; RBV,active-comparator,cm,"For the Treatment Phase, Change From Baseline in Height",Change at Week 1,False,False,True,3 to < 6 Years Old - LDV/SOF 12 Weeks,0.2,1.24,34,12 to < 18 Years Old - LDV/SOF 12 Weeks,0.1,100,0.1,,
NCT02249182,Hepatitis C Virus Infection,Safety and Efficacy of Ledipasvir/Sofosbuvir Fixed Dose Combination +/- Ribavirin in Adolescents and Children With Chronic HCV-Infection,LDV/SOF ; RBV,active-comparator,cm,"For the Treatment Phase, Change From Baseline in Height",Change at Week 2,False,False,True,6 to < 12 Years Old - LDV/SOF 12 Weeks,0.3,0.73,89,12 to < 18 Years Old - LDV/SOF 12 Weeks,0.0,100,0.3,,
NCT02249182,Hepatitis C Virus Infection,Safety and Efficacy of Ledipasvir/Sofosbuvir Fixed Dose Combination +/- Ribavirin in Adolescents and Children With Chronic HCV-Infection,LDV/SOF ; RBV,active-comparator,cm,"For the Treatment Phase, Change From Baseline in Height",Change at Week 2,False,False,True,3 to < 6 Years Old - LDV/SOF 12 Weeks,0.3,0.72,34,12 to < 18 Years Old - LDV/SOF 12 Weeks,0.0,100,0.3,,
NCT02249182,Hepatitis C Virus Infection,Safety and Efficacy of Ledipasvir/Sofosbuvir Fixed Dose Combination +/- Ribavirin in Adolescents and Children With Chronic HCV-Infection,LDV/SOF ; RBV,active-comparator,cm,"For the Treatment Phase, Change From Baseline in Height",Change at Week 4,False,False,True,6 to < 12 Years Old - LDV/SOF 12 Weeks,0.5,0.79,89,12 to < 18 Years Old - LDV/SOF 12 Weeks,0.1,100,0.4,,
NCT02249182,Hepatitis C Virus Infection,Safety and Efficacy of Ledipasvir/Sofosbuvir Fixed Dose Combination +/- Ribavirin in Adolescents and Children With Chronic HCV-Infection,LDV/SOF ; RBV,active-comparator,cm,"For the Treatment Phase, Change From Baseline in Height",Change at Week 4,False,False,True,3 to < 6 Years Old - LDV/SOF 12 Weeks,0.7,0.79,34,12 to < 18 Years Old - LDV/SOF 12 Weeks,0.1,100,0.6,,
NCT02249182,Hepatitis C Virus Infection,Safety and Efficacy of Ledipasvir/Sofosbuvir Fixed Dose Combination +/- Ribavirin in Adolescents and Children With Chronic HCV-Infection,LDV/SOF ; RBV,active-comparator,cm,"For the Treatment Phase, Change From Baseline in Height",Change at Week 8,False,False,True,6 to < 12 Years Old - LDV/SOF 12 Weeks,0.8,0.79,89,12 to < 18 Years Old - LDV/SOF 12 Weeks,0.4,100,0.4,,
NCT02249182,Hepatitis C Virus Infection,Safety and Efficacy of Ledipasvir/Sofosbuvir Fixed Dose Combination +/- Ribavirin in Adolescents and Children With Chronic HCV-Infection,LDV/SOF ; RBV,active-comparator,cm,"For the Treatment Phase, Change From Baseline in Height",Change at Week 8,False,False,True,3 to < 6 Years Old - LDV/SOF 12 Weeks,1.0,0.82,34,12 to < 18 Years Old - LDV/SOF 12 Weeks,0.4,100,0.6,,
NCT02249182,Hepatitis C Virus Infection,Safety and Efficacy of Ledipasvir/Sofosbuvir Fixed Dose Combination +/- Ribavirin in Adolescents and Children With Chronic HCV-Infection,LDV/SOF ; RBV,active-comparator,cm,"For the Treatment Phase, Change From Baseline in Height",Change at Week 12,False,False,True,6 to < 12 Years Old - LDV/SOF 12 Weeks,1.3,0.83,89,12 to < 18 Years Old - LDV/SOF 12 Weeks,0.5,100,0.8,,
